,Date,OptionPrice,StrikePrice,OptionSymbol,ExpiryDate,FuturePrice,OptionType,tte,IV
25573,2023-05-04 10:17:00,20.5,860,AXISBANK29JUN23860PE,2023-06-29 15:30:00,859.75,p,0.16086944444444445,0.14810649328463193
25574,2023-04-06 12:34:00,16.3,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,857.25,c,0.060488888888888884,0.20941974904645702
25575,2023-05-04 14:24:00,22.5,860,AXISBANK29JUN23860PE,2023-06-29 15:30:00,863.95,p,0.16018333333333334,0.17750014540627918
25580,2023-04-06 11:08:00,14.75,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,860.1,p,0.060727777777777776,0.17505170708198717
25582,2023-04-21 14:10:00,28.7,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,863.1,c,0.09222222222222222,0.25991030008366883
25585,2023-04-21 13:43:00,7.95,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,860.4,p,0.016297222222222223,0.18600227292446053
25588,2023-05-04 09:57:00,19.35,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,859.3,c,0.060925,0.23273023990165095
25589,2023-04-05 13:00:00,15.85,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,860.1,p,0.06441666666666666,0.1826004034974979
25596,2023-04-03 11:32:00,19.15,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,858.4,c,0.0726611111111111,0.21583728894792178
25599,2023-04-06 11:49:00,16.4,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,856.35,p,0.060613888888888884,0.17206308709519857
25602,2023-04-05 14:50:00,15.25,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,860.65,p,0.06411111111111112,0.17921149776436032
25604,2023-04-13 14:36:00,27.9,860,AXISBANK25MAY23860CE,2023-05-25 15:30:00,856.95,c,0.11615,0.2519598140623388
25605,2023-04-21 13:04:00,8.0,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,859.6,p,0.016405555555555555,0.1775047885548338
25606,2023-04-21 13:19:00,8.15,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,859.0,c,0.01636388888888889,0.19699984758835193
25610,2023-04-05 11:09:00,18.8,860,AXISBANK27APR23860CE,2023-04-27 15:30:00,859.3,c,0.064725,0.21948825040988765
25617,2023-04-05 09:15:00,13.75,860,AXISBANK27APR23860PE,2023-04-27 15:30:00,863.35,p,0.06504166666666666,0.1752968780562973
25618,2023-04-21 12:36:00,20.3,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,862.05,p,0.09248333333333333,0.2040241831426117
25619,2023-05-03 10:05:00,12.75,860,AXISBANK25MAY23860PE,2023-05-25 15:30:00,863.85,p,0.06490277777777778,0.16661112349998852
