,date,open,high,low,close,volume
NIFTY2361519200CE,2023-06-05 09:45:00+05:30,4.1,4.15,4.05,4.05,6900
NIFTY2361519200PE
NIFTY2361519300CE,2023-06-05 09:45:00+05:30,2.8,2.8,2.75,2.8,950
NIFTY2361519300PE,2023-06-05 09:45:00+05:30,635.8,635.8,635.8,635.8,0
NIFTY2361519400CE,2023-06-05 09:45:00+05:30,2.45,2.45,2.4,2.4,150
NIFTY2361519400PE,2023-06-05 09:45:00+05:30,743.4,743.4,743.4,743.4,0
NIFTY2361519500CE,2023-06-05 09:45:00+05:30,2.4,2.45,2.4,2.45,50
NIFTY2361519500PE
NIFTY23JUL17500CE,2023-06-05 09:45:00+05:30,1280.55,1293,1280.55,1293,250
NIFTY23JUL17500PE,2023-06-05 09:45:00+05:30,32.65,32.65,32,32,200
NIFTY23JUL17600CE
NIFTY23JUL17600PE,2023-06-05 09:45:00+05:30,37.85,37.85,37.25,37.25,400
NIFTY23JUL17700CE
NIFTY23JUL17700PE,2023-06-05 09:45:00+05:30,44.75,44.75,44.75,44.75,0
NIFTY23JUL17800CE
NIFTY23JUL17800PE,2023-06-05 09:45:00+05:30,52.65,52.65,51.9,51.9,150
NIFTY23JUL17900CE,2023-06-05 09:45:00+05:30,923,923,923,923,0
NIFTY23JUL17900PE,2023-06-05 09:45:00+05:30,63.5,63.5,62.5,62.5,600
NIFTY23JUL18000CE,2023-06-05 09:45:00+05:30,841.7,856,841.7,850.05,1100
NIFTY23JUL18000PE,2023-06-05 09:45:00+05:30,77.7,77.7,76.35,76.6,1900
NIFTY23JUL18100CE,2023-06-05 09:45:00+05:30,763.05,763.05,763.05,763.05,0
NIFTY23JUL18100PE,2023-06-05 09:45:00+05:30,91.15,91.7,89.9,89.9,2200
NIFTY23JUL18200CE,2023-06-05 09:45:00+05:30,681,681,681,681,0
NIFTY23JUL18200PE,2023-06-05 09:45:00+05:30,108.5,108.5,106.25,106.25,550
NIFTY23JUL18300CE,2023-06-05 09:45:00+05:30,600,608.45,600,608.45,50
NIFTY23JUL18300PE,2023-06-05 09:45:00+05:30,129.05,129.35,127,127.3,650
NIFTY23JUL18400CE,2023-06-05 09:45:00+05:30,525.5,525.5,525.5,525.5,0
NIFTY23JUL18400PE,2023-06-05 09:45:00+05:30,153.6,153.6,151.45,151.45,550
NIFTY23JUL18500CE,2023-06-05 09:45:00+05:30,457.55,464.9,457.55,464.7,800
NIFTY23JUL18500PE,2023-06-05 09:45:00+05:30,184,184,180,180,1750
NIFTY23JUL18600CE,2023-06-05 09:45:00+05:30,390.15,397,390.15,397,500
NIFTY23JUL18600PE,2023-06-05 09:45:00+05:30,217.95,218,214.85,214.85,350
